distCode,distName,officeCode,officeName,shopNo,address,longitude,latitude,fpsStatus,fpsType,dateTime
532,Adilabad,532010,Bajarhathnoor,1910009,DR DEPO JATHARLA  JATHARLA,78.414225,19.427716,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910010,Mesram Thursa Bai  Dharampoori,78.400557,19.486711,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910011,E Kushwartha Bai  BHOSRA,78.390443,19.470074,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910012,Prahlad  RAMPOOR,78.407730,19.466850,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910013,Komapoth Mohan  H.NO.3-58 GP GIRNOOR,78.394816,19.445604,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910014,"Arelly Rajamani  H.No.2-77/1, WARTHAMANNOR",78.403962,19.412349,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910015,"DR DEPO BUTHAI-K  DOOR NO,46 BHUTAI-K",78.341911,19.522072,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910016,"Rathod Vasanth Rao  D.NO.5-73, BHUTAI-B",78.344170,19.512270,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910017,Chowhan Gnaneshwar  H.NO.1-86. BHUTAI-B-II,78.338054,19.509627,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910018,Takda Jaisingh  CHINTHALSANGVI,78.365272,19.491366,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910019,JADAV DHANRAJ  GOKONDA,78.371365,19.513792,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910020,"Patil Rajaram  D.NO.1-56, MORKHANDI",78.389890,19.525830,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532010,Bajarhathnoor,1910030,SUB-DR DEPO DEDRA  DEDRA,78.352590,19.458390,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911001,"R Kashinath  H.NO.10-16, Boath (B)",78.318511,19.350022,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911002,R Mangamma  Boath (B),78.318874,19.349839,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911003,"Raipelly Santosh  H.NO.10-52, Boath (B)",78.318505,19.350019,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911004,Kadergutla Uma  Boath (B),78.316807,19.347069,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911005,"Kadergutla Uma  H.NO.7-36, Boath (B)",78.316753,19.347092,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911006,Kummari Prabhakar  Kangutta,78.343721,19.360294,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911007,"Gangadhar Kumram  H.NO.3-50, Patnapur",78.271640,19.344730,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911008,Chintha Santhosh  Karathwada,78.303086,19.375360,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911009,DR Depo Marlapally  Marlapally,78.242980,19.347376,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911010,Rathod Yeshwanth  Kantegoan,78.213400,19.351500,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911011,"Gangadhar Kumram  H.NO.1-35, Nakkalawada",78.263328,19.359756,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911012,Pathipaka Sudhakar  Dhannur (B),78.327779,19.311478,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911013,"Admala Venkata Ramana  H.NO.2-1, Dhannur (B)",78.328302,19.310165,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911014,Ch Rupasundari  Pochera,78.360868,19.335603,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911015,"Kokkula Laxmi  H.NO.1-6 , Kuchulapur",78.333998,19.327343,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911016,Thondakuri Narsu Bai  Andur,78.285796,19.292254,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911019,"Chilakadi Ravindar  H.NO.5-49, Kowtha (B)",78.356075,19.374492,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532011,Boath,1911020,O Laxmi Veena  Kowtha (B),78.355993,19.374463,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
532,Adilabad,532012,Neradigonda,1912001,Jadhav Vasanth Rao  Buggaram,78.439147,19.290515,Active,Normal Shop,2025-07-03 14:43:54.124224+05:30
